v1,v2,v3,v4,v5,v6,v7,v8,v9,result
0,0,109,1253,1517,1849,1899,1994,2033,389
0,0,482,1279,1546,1752,1911,2004,2084,394
39,0,668,1317,1724,1764,1925,2001,2105,396
183,118,942,1513,1595,1780,1924,2008,2111,400
43,127,960,1374,1611,1795,1942,2022,2109,403
0,140,1023,1381,1773,1807,1948,2021,2108,405
140,0,1077,1402,1637,1832,1958,2159,2075,408
0,0,1127,1586,1673,1844,1958,2023,2065,412
0,0,1151,1460,1689,1863,1957,2017,2074,414
0,0,1183,1623,1705,1878,1981,2020,2050,418
0,0,1204,1498,1718,1991,1972,2013,2047,420
0,0,1237,1512,1735,1895,1982,2033,2032,423
0,121,1269,1542,1757,1913,2004,2058,2030,427
0,309,1279,1567,1766,1906,2003,2081,2035,429
0,760,1460,1572,1776,1920,2004,2258,2022,432
0,883,1327,1611,1799,1939,2144,2110,2013,435
121,1116,1346,1609,1812,1945,2019,2100,2002,437
0,1060,1387,1648,1832,1958,2023,2082,1993,442
0,1079,1400,1656,1959,1967,2015,2079,1991,444
0,1130,1437,1673,1860,1961,2022,2214,1975,447
0,1170,1466,1687,1876,1968,2022,2052,1967,451
0,1171,1470,1698,1877,1971,2132,2060,1964,452
0,1209,1496,1717,1899,1988,2022,2033,1945,456
276,1231,1530,1735,1912,1987,2046,2027,1933,459
669,1279,1548,1761,1909,2120,2216,2021,1910,462
1023,1301,1565,1783,1926,2002,2096,2025,1908,466
975,1317,1738,1801,1926,2003,2110,2006,1878,468
1021,1333,1598,1798,1942,2005,2107,2007,1869,472
1062,1359,1617,1813,1942,2160,2094,2149,1861,474
1110,1396,1646,1823,1961,2020,2212,1999,1843,478
1135,1426,1656,1845,1950,2153,2060,1976,1827,480
1172,1443,1803,1860,1976,2019,2054,1982,1909,484
1203,1447,1673,1853,1976,2022,2186,1958,1809,485
1217,1487,1697,2021,1972,2016,2033,1940,1780,489
1254,1501,1713,1891,1989,2049,2037,1928,1767,492
1279,1536,1744,1905,2104,2068,2020,1924,1752,495
1317,1547,1752,1911,1999,2089,2027,1911,1737,499
1335,1563,1766,1930,1998,2092,2004,1892,1706,501
1497,1576,1779,1928,2018,2091,2006,1878,1701,504
1378,1747,1977,1943,2004,2087,1994,1975,1663,507
1413,1633,1816,1942,2012,2071,1989,1845,1653,510
1433,1638,1832,1950,2007,2046,1964,1825,1715,514
1463,1673,1845,1957,2003,2054,2069,1819,1612,517
1464,1679,1844,2093,2006,2050,2084,1821,1615,519
1658,1687,1877,1979,2017,2038,1940,1779,1583,523
1519,1701,1876,1995,2035,2044,2049,1784,1558,525
1547,1863,1893,1986,2076,2020,1909,1753,1524,529
1563,1881,1915,1988,2102,2017,1911,1877,1513,530
1581,1764,1904,2006,2089,2013,1893,1718,1495,535
1592,1767,1930,2004,2096,2006,1870,1703,1473,537
1622,1800,1927,2151,2082,1991,1870,1670,1454,541
1776,1795,1951,2001,2062,1993,2001,1819,1448,543
1658,1812,1945,2003,2050,1969,1964,1637,1434,545
1675,1832,1960,2003,2044,1955,1814,1624,1435,551
1688,1845,1959,2006,2031,1959,1842,1707,1467,552
1702,1995,2118,2005,2033,1939,1783,1575,1639,555
1737,1876,1976,2183,2017,1927,1767,1560,1942,558
1747,1893,1992,2051,2025,1913,1748,1541,2065,561
1768,2029,1989,2084,2006,1905,1727,1529,2291,564
1766,1912,1998,2089,2006,1885,1804,1500,2303,568
1800,2037,2162,2087,1990,1878,1689,1483,2367,571
1799,2064,1999,2078,1991,1879,1689,1461,2465,572
1813,1929,2004,2064,1974,1842,1761,1446,2385,576
1831,1950,1998,2066,1975,1831,1637,1433,2394,579
1849,1945,2004,2052,1961,1809,1624,1536,2377,582
1859,1957,2001,2036,1935,1925,1609,1462,2220,585
1863,1957,2003,2035,1945,1797,1691,1493,2143,587
1878,1973,2005,2019,1932,1766,1574,1646,1841,591
1891,1974,2036,2019,1910,1879,1545,1860,1445,594
1911,1989,2069,2006,1894,1737,1530,2111,1180,598
1912,1988,2076,2002,1889,1718,1510,2340,821,600
1928,1988,2098,2010,1872,1702,1500,2302,571,603
1927,2007,2081,1987,1855,1812,1465,2363,292,606
1942,2002,2255,1979,1842,1654,1451,2403,40,609
1949,2145,2066,1979,1928,1648,1433,2411,0,612
1945,2004,2069,1969,1826,1773,1548,2559,0,614
1960,1999,2054,2124,1816,1603,1542,2367,62,618
1974,2007,2036,1943,1784,1590,1479,2251,0,621
1970,2005,2035,1943,1785,1577,1532,2191,77,623
1990,2016,2220,1926,1766,1562,1704,1889,0,627
1991,2034,2019,1906,1728,1532,1945,1500,0,630
1985,2192,2023,1911,1737,1523,2097,1299,0,632
2008,2089,2007,1893,1705,1498,2226,707,0,636
2003,2094,2008,1870,1689,1480,2319,554,0,640
2009,2096,2005,1876,1679,1606,2347,505,0,641
2009,2084,2160,1846,1652,1451,2407,51,0,645
2160,2076,1970,1829,1640,1436,2407,0,44,648
2013,2074,1972,1830,1628,1416,2407,0,0,650
2001,2051,1960,1814,1607,1433,2376,0,0,654
2010,2035,2140,1964,1571,1530,2236,0,0,657
2021,2035,1950,1784,1557,1596,2125,0,0,659
2053,2048,1927,1769,1543,1800,1810,0,0,663
0,0,0,572,1279,1650,1753,2018,1998,359
135,0,0,573,1279,1547,1749,1915,1990,360
0,179,0,944,1347,1597,1927,2008,2004,366
0,209,0,942,1348,1594,1778,1930,2002,366
0,0,0,1082,1399,1624,1811,1938,2002,371
0,9,0,1078,1394,1623,1917,1944,2003,2003
0,0,0,1136,1432,1778,1828,1949,2022,377
0,0,0,1139,1428,1658,1845,1961,2027,378
0,0,127,1194,1465,1686,1869,1970,2014,381
0,0,0,1220,1499,1695,1875,1976,2015,386
118,0,0,1256,1525,1734,1890,1985,2056,389
0,0,0,1255,1528,1734,1892,2161,2051,391
10,0,415,1304,1563,1747,1908,2001,2096,394
51,0,816,1317,1577,1764,1906,2006,2113,396
42,0,974,1333,1595,1781,1924,2003,2110,400
25,0,957,1366,1608,1793,1936,2016,2115,403
0,143,1199,1382,1625,1812,1940,2021,2093,405
0,0,0,1408,1640,1832,1968,2017,2079,408
0,0,1112,1599,1663,1838,1949,2021,2063,412
0,0,1145,1611,1688,1858,1971,2019,2156,414
0,0,1187,1482,1704,1868,1970,2019,2044,418
0,142,1189,1499,1718,1882,1991,2014,2048,420
0,0,1401,1672,1738,1887,1987,2035,2036,423
141,120,1269,1543,1749,1910,2007,2066,2037,427
138,331,1279,1561,1762,1915,2004,2083,2020,429
0,739,1495,1597,1784,1922,1999,2111,2016,432
0,898,1336,1610,1796,1951,2003,2116,2005,435
0,941,1349,1608,1815,2028,2002,2094,2123,437
0,1062,1381,1646,1828,1955,2022,2081,1991,442
145,1081,1575,1655,1836,1955,2021,2077,1993,444
0,1127,1434,1844,1975,1957,2019,2069,2100,447
0,1168,1466,1708,1875,1973,2018,2051,1962,451
0,1172,1469,1700,1874,1971,2019,2046,1953,452
7,1223,1498,1718,1891,1985,2016,2051,1946,456
292,1255,1530,1753,1909,1989,2194,2035,1929,460
671,1267,1542,1766,1909,2001,2078,2018,1910,462
836,1301,1561,1769,2075,2013,2096,2018,1904,466
972,1334,1573,1798,1951,2003,2117,2016,1893,468
1021,1336,1589,1799,1944,2005,2094,2007,1875,471
1061,1366,1820,1815,1945,2003,2100,1991,1860,474
1110,1402,1646,1829,1967,2021,2086,1990,1843,478
1139,1418,1658,1843,1958,2017,2061,1974,1832,480
1183,1451,1670,1869,1975,2018,2132,1966,1814,484
1183,1449,1672,2066,1981,2019,2050,1950,1810,485
1218,1482,1705,1878,1965,2016,2034,1948,1779,489
1268,1498,1719,1893,1984,2053,2035,2021,1758,492
1279,1529,1729,1910,1987,2065,2014,1923,1750,495
