v1,v2,v3,v4,v5,v6,v7,v8,v9,result
1220,1432,1614,1735,1810,1878,1809,1750,1541,511
1201,1437,1613,1728,1811,1872,1873,1695,1539,511
1232,1451,1612,1738,1797,1850,1774,1669,1494,511
1231,1452,1613,1735,1806,1840,1764,1729,1500,511
1237,1448,1606,1736,1881,1843,1760,1653,1496,511
1234,1452,1613,1735,1881,1843,1772,1652,1503,511
1228,1448,1606,1743,1798,1838,1765,1668,1496,511
1236,1449,1628,1848,1792,1929,1769,1662,1557,511
1235,1569,1610,1736,1804,1843,1859,1673,1496,511
1233,1453,1749,1729,1883,1851,1768,1669,1496,511
1238,1446,1619,1861,1792,1842,1874,1670,1501,511
1170,1401,1592,1714,1796,1862,1792,1702,1598,510
1165,1401,1580,1719,1794,1857,1795,1695,1561,510
1163,1400,1587,1718,1795,1859,1794,1700,1543,510
1171,1401,1592,1715,1795,1859,1880,1694,1560,510
1279,1532,1594,1719,1793,1860,1811,1698,1563,510
1171,1401,1594,1721,1792,1861,1812,1699,1559,510
1169,1401,1590,1719,1795,1860,1812,1703,1560,510
1167,1404,1592,1720,1795,1858,1812,1694,1632,510
1172,1402,1596,1718,1800,1939,1806,1703,1560,510
1163,1404,1588,1720,1800,1868,1810,1695,1564,510
1167,1405,1598,1717,1797,1863,1812,1700,1564,510
1168,1405,1594,1716,1796,1855,1811,1697,1562,510
1681,1785,1829,1828,1749,1606,1431,1685,1934,599
1183,1420,1806,1734,1799,1858,1794,1761,1545,511
1183,1421,1598,1732,1902,1859,1873,1699,1543,510
1186,1415,1596,1735,1799,1858,1821,1700,1553,510
1690,1785,1828,1830,1753,1606,1434,1732,1815,600
1179,1421,1597,1740,1794,1862,1792,1695,1640,511
1186,1415,1596,1738,1798,1855,1796,1701,1548,511
1183,1597,1619,1731,1799,1859,1792,1704,1540,511
50,0,0,1095,1368,1560,1705,1796,1843,398
1187,1401,1596,1735,1794,1879,1810,1701,1560,511
1183,1417,1596,1734,1795,1971,1811,1701,1564,511
1188,1399,1594,1733,1795,1875,1809,1693,1560,511
1183,1417,1611,1737,1814,1874,1810,1717,1559,511
1181,1416,1612,1734,1810,1883,1815,1716,1559,511
1181,1415,1779,1735,1813,1874,1815,1723,1555,511
1183,1417,1614,1734,1962,1875,1832,1717,1563,511
1187,1417,1611,1734,1950,1875,1823,1799,1560,511
1181,1416,1611,1733,1822,1875,1931,1713,1561,511
1237,1446,1641,1750,1829,2011,1920,1771,1521,510
1234,1449,1647,1752,1817,1868,1812,1695,1525,510
1232,1450,1627,1750,1825,1875,1937,1685,1523,510
1183,1418,1598,1735,1813,1877,1816,1718,1564,511
1183,1418,1595,1735,1818,1879,1807,1718,1688,511
1329,1420,1594,1735,1976,1874,1812,1721,1561,511
1250,1628,1642,1763,1807,1874,1800,1687,1527,511
