v1,v2,v3,v4,v5,v6,v7,v8,v9,result
0,0,0,1173,1439,1641,1785,1873,1921,393
0,0,0,1198,1604,1656,1796,1877,2078,396
0,0,69,1215,1604,1794,1800,1892,1991,400
0,0,433,1248,1500,1681,1813,1891,2070,403
0,0,691,1265,1517,1687,1827,1891,2050,405
9,0,842,1300,1529,1702,1828,1890,1965,408
0,0,958,1311,1541,1713,1830,1891,1973,411
0,0,1023,1349,1562,1735,1845,1892,1956,414
0,0,1066,1366,1720,1748,1882,2029,1947,418
127,0,1164,1381,1602,1750,1845,1892,1937,420
0,95,1126,1395,1609,1769,1853,1886,1921,423
0,0,1135,1413,1624,1778,1865,1903,2030,426
0,0,1176,1446,1644,1796,1874,1938,1911,429
0,0,1210,1467,1649,1798,1875,1972,2021,432
0,190,1224,1478,1671,1812,1892,1988,1892,435
0,397,1244,1491,1690,1818,1891,1991,1885,437
0,760,1519,1529,1838,1835,1889,1979,1873,442
0,858,1279,1531,1717,1827,1893,2085,1877,444
0,995,1316,1565,1735,1827,1884,1957,1861,447
0,1052,1352,1717,1750,1869,2010,1940,1847,451
0,1063,1596,1581,1753,1836,1897,1942,1840,452
0,1099,1383,1614,1766,1860,1885,1934,1970,456
135,1137,1421,1629,1784,1867,1905,1927,1833,460
0,1170,1434,1650,1794,1876,1942,1911,1813,462
50,1187,1453,1784,1797,1875,1959,1914,1795,466
307,1205,1679,1670,1794,2008,1982,1895,1784,468
588,1238,1482,1670,1812,1876,1992,1890,1906,471
771,1255,1500,1685,1816,1885,1993,1891,1769,1769
911,1439,1515,1705,1823,1892,1970,2015,1749,478
988,1303,1722,1721,1948,1891,1958,1860,1748,480
1214,1332,1567,1734,1843,1900,2053,1992,1718,484
1238,1329,1784,1728,1974,1900,1944,1842,1717,485
1115,1367,1588,1743,1848,1895,1926,1841,1702,489
1133,1386,1611,1770,1984,1892,1929,1837,1686,492
1156,1397,1627,1917,1852,1927,1905,1951,1671,495
1204,1434,1871,1799,1878,1957,1909,1796,1642,499
1224,1451,1651,1906,1875,2107,1891,1804,1624,501
1235,1469,1651,1811,1976,2116,2021,1784,1626,504
1271,1499,1691,1808,1879,1974,1874,1772,1597,508
1279,1513,1695,1812,1876,1968,1873,1749,1579,510
1317,1532,1704,1832,1894,1943,1863,1730,1726,514
1340,1546,1730,1832,1896,2073,1861,1914,1689,517
1350,1555,1740,1844,1895,1927,1842,1728,1526,519
1382,1587,1756,1844,1895,1932,1956,1705,1514,523
1396,1596,1747,1844,1892,2048,1971,1690,1496,525
1433,1614,1768,1860,1923,1910,1812,1675,1467,529
1451,1626,1792,1998,1940,1907,1820,1661,1465,530
1467,1643,1795,1880,1977,1890,1792,1642,1439,535
1488,1657,2027,1875,2102,1893,1775,1785,1436,537
1517,1669,1815,1873,2077,1877,1766,1594,1399,541
1512,1689,1811,1868,1951,2018,1767,1598,1404,543
1531,1704,1814,1875,1961,1855,1749,1574,1511,545
1565,1712,1830,1876,1942,1844,1734,1549,1482,550
1565,1719,2049,1880,1922,1949,1718,1529,1561,552
1589,1907,1847,1877,1925,1831,1798,1508,1776,555
1610,1755,1859,1890,1908,1811,1830,1500,2149,558
1635,1767,1862,1920,1909,1807,1663,1482,2261,561
1642,1939,2079,1945,1894,1799,1659,1464,2386,564
1657,1781,1862,2101,1900,1774,1644,1448,2543,568
1858,1801,1888,1977,1874,1912,1632,1582,2816,570
1847,1799,1876,1974,1879,1768,1610,1422,2687,572
1686,1975,1884,1965,1879,1769,1594,1400,2865,576
1706,1815,1879,1936,1991,1729,1677,1529,1062,580
1721,1823,1878,1943,1859,1735,1561,1422,2664,582
1743,1830,1876,1922,1851,1703,1536,1560,2242,586
1736,1829,1878,1927,1845,1709,1525,1561,2224,587
1748,1849,1886,1911,1827,1688,1497,1893,1557,591
1907,1863,1887,1905,1813,1671,1487,2131,1009,594
1783,1855,1930,1891,1796,1656,1465,2273,588,597
1784,1861,2166,1894,1805,1645,1450,2421,120,600
1804,1879,1979,1891,1786,1633,1436,1809,307,604
1794,1884,1974,2008,1767,1613,1420,1092,381,606
2008,1870,1973,1875,1880,1597,1404,961,484,610
1816,2047,1957,1855,1756,1580,1409,926,822,612
1834,1876,1957,1865,1728,1560,1384,991,858,614
1826,1874,1946,1849,1717,1523,1452,737,469,618
1847,1896,1931,1980,1703,1516,1541,588,451,621
1850,2079,1937,1834,1685,1513,1593,562,1136,623
1855,1899,2107,1818,1800,1496,1735,511,454,627
1862,1893,1915,1815,1657,1458,1915,446,255,630
2045,1930,1914,1796,1656,1450,1937,311,241,632
1873,1968,1888,1792,1626,1432,1892,274,11,636
1880,1970,1902,1766,1733,1416,1646,223,311,641
1878,1973,1897,1781,1602,1419,2497,205,348,641
1877,2109,1904,1746,1581,1400,1151,276,307,646
1894,1958,1861,1734,1564,1381,1023,274,311,648
1890,1959,1860,1732,1541,1403,1082,255,156,650
1897,1938,1848,1719,1528,1499,1063,205,415,654
1891,1928,1841,1700,1513,1689,484,255,291,657
1999,1926,1825,1688,1629,1954,366,277,173,659
1912,1926,1831,1663,1481,2128,223,255,433,663
0,0,0,0,1173,1560,1626,1780,1879,358
0,0,0,51,1200,1452,1782,1797,1890,362
0,2,0,255,1329,1471,1655,1797,1888,364
0,0,0,533,1251,1484,1673,1815,1892,367
134,0,0,751,1261,1494,1690,1813,1890,370
0,0,0,910,1299,1629,1695,1829,1886,373
0,0,173,1084,1422,1528,1700,1829,2042,375
0,0,0,1023,1333,1561,1735,1840,1890,379
7,0,202,1023,1471,1561,1730,1942,1883,380
0,2,0,1091,1378,1699,1747,1966,1886,385
127,0,0,1128,1398,1602,1769,1863,1889,388
0,0,0,1139,1419,1608,1759,1858,1912,389
0,0,0,1189,1426,1641,1784,1994,1942,394
0,0,0,1203,1467,1653,1792,1882,1971,396
0,0,41,1223,1466,1656,1796,1890,1988,398
0,0,438,1251,1504,1687,1927,1892,1981,403
0,0,671,1264,1517,1687,1815,1892,1987,405
0,0,826,1295,1529,1705,1829,1889,1976,408
0,0,942,1316,1549,1716,1826,1892,1974,411
0,0,1255,1340,1688,1732,1845,2035,1961,414
0,0,1063,1365,1580,1749,1843,1902,1938,418
0,0,1096,1379,1591,1747,1847,1893,1942,420
0,0,1130,1395,1610,1769,1862,1890,1925,423
0,0,1160,1430,1627,1784,1881,1907,1927,427
0,0,1176,1567,1642,1781,1876,1941,1905,429
0,0,1422,1461,1663,1796,1868,1964,1913,432
0,191,1439,1476,1803,1814,1892,1992,1892,1892
104,572,1240,1637,1687,1811,1884,1988,1897,437
0,774,1272,1651,1702,1831,1893,2128,1875,442
119,859,1279,1532,1720,1823,1894,1972,1878,444
0,997,1315,1562,1734,1965,1893,1957,1862,447
0,1023,1356,1579,1745,1847,1888,1938,1848,450
0,1068,1350,1579,1896,1848,1902,1939,1988,452
0,1098,1383,1590,1767,1853,1898,1923,1823,456
0,1135,1403,1628,1784,1858,1910,1935,1831,460
135,1172,1432,1641,1798,2010,1944,1908,1805,462
227,1188,1451,1660,1795,1880,1966,1908,1796,466
329,1423,1472,1673,1810,1876,1988,1892,1779,468
511,1240,1483,1669,1810,2009,1991,1892,1774,471
722,1256,1500,1688,1813,1891,1975,1874,1768,474
910,1279,1524,1705,1828,1888,1960,1877,1750,478
979,1301,1531,1716,1826,1897,1955,1863,1746,480
1061,1335,1563,1734,1845,1893,1935,1863,1718,484
1063,1530,1563,1735,1844,1896,1941,1847,1715,485
1111,1365,1580,1748,1986,1891,1924,1843,1701,489
1137,1386,1614,1766,1861,1893,1924,1827,1688,492
1170,1399,1615,1785,1991,1911,2046,1816,1667,495
1205,1429,1642,1804,1879,1951,1911,1793,1641,499
